Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290483159%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8EF73DC7A6_p_1715541359200%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715541352168%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286859?trackId=14170286,2024-05-12 19:17:13
Arnab,www,playback,/watch/70286859?trackId=14170286,/watch/70286860?trackId=14170286,2024-05-12 19:17:13
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290483159%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8EF73DC7A6_p_1715541359200%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715541352168%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-12 19:17:06
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290483159%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8EF73DC7A6_p_1715541359200%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715541352168%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286859?trackId=14170286,2024-05-12 19:17:06
Arnab,www,browseTitles,https://www.netflix.com/browse,/browse,2024-05-12 19:17:05
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290483159%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8EF73DC7A6_p_1715541359200%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715541352168%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-12 19:17:05
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7286851c-0523-42fe-9acb-b355d307ef96-90814838%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-5F8D5246F3_p_1715490508432%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715490503550%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-12 05:09:57
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7286851c-0523-42fe-9acb-b355d307ef96-90814838%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-5F8D5246F3_p_1715490508432%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715490503550%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286859?trackId=14170286,2024-05-12 05:09:57
Arnab,www,browseTitles,,/browse,2024-05-12 05:09:56
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7286851c-0523-42fe-9acb-b355d307ef96-90814838%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-5F8D5246F3_p_1715490508432%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715490503550%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-12 05:09:56
Arnab,www,profilesGate,,/browse,2024-05-12 05:08:26
Arnab,www,browseTitles,,/browse,2024-05-12 05:08:26
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-11 17:09:41
Arnab,www,playback,/search?q=one%20p,/watch/80198443?trackId=255824129&tctx=1%2C6%2Cb56de8f5-c08c-4e5e-958f-b6aca107d11d-56706878%2Cb56de8f5-c08c-4e5e-958f-b6aca107d11d-56706878%7C2%2Cunknown%2C%2C%2CtitlesResults%2C80198443%2CVideo%3A80198443%2CminiDpPlayButton,2024-05-11 17:09:41
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-11 17:08:59
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-11 17:08:59
Arnab,www,search,/browse,/search?q=o,2024-05-11 17:08:58
Arnab,www,search,/search?q=o,/search?q=on,2024-05-11 17:08:58
Arnab,www,search,/search?q=o,/search?q=on,2024-05-11 17:08:58
Arnab,www,search,/search?q=on,/search?q=one,2024-05-11 17:08:58
Arnab,www,search,/search?q=on,/search?q=one,2024-05-11 17:08:58
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-11 17:08:58
Arnab,www,browseTitles,,/browse,2024-05-11 17:08:57
Arnab,www,search,/browse,/search?q=o,2024-05-11 17:08:57
Arnab,www,browseTitles,,/browse,2024-05-11 16:47:19
